"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","trades"
"TYVS5R-SFD3V-JKHFNH","O544LX-GCMLC-4BC4DG","BTC/EUR","forex","2023-10-06 16:31:29.8786","buy","limit",26360.90000,299.99996,0.48000,0.01138049,0.00000,"","L2VPO6-EM4NC-OQIGS7,L5OBL2-KNCKJ-4MO3FY","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TCIPOD-QX3PI-7MYN2T","O2RJAL-JYNFV-JQRVX2","BTC/EUR","forex","2023-10-10 15:56:43.4394","buy","limit",25850.00000,300.99973,0.48160,0.01164409,0.00000,"","LG5GBN-IKCSH-MZ72BC,LKBW3L-DBVWY-UY7UYR","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TEDFEA-JX2UD-TZ2JSG","O43W4X-UVIJY-WBMZBP","BTC/EUR","forex","2023-10-21 17:15:45.0284","buy","limit",28210.00000,238.90654,0.38225,0.00846886,0.00000,"","LNSFN4-JAZK2-DJC6GU,LQY6MW-LZ7ST-GLUKKC","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TXWQSY-WPG3A-RGYBEI","O43W4X-UVIJY-WBMZBP","BTC/EUR","forex","2023-10-21 17:15:56.9527","buy","limit",28210.00000,28.21000,0.04514,0.00100000,0.00000,"","LXNYUN-EUGVB-N42367,LXBDDI-PEBKO-BI7IE5","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TAERFS-PLR63-VGZTN4","O43W4X-UVIJY-WBMZBP","BTC/EUR","forex","2023-10-21 17:16:05.5217","buy","limit",28210.00000,132.88321,0.21261,0.00471050,0.00000,"","L2PS6P-AEE34-Q7LXBS,LFKH46-CRNJZ-WHHAOA","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TXAFL4-EKCLC-SFPYRS","O6TA57-5WJFI-ZL3F65","LINK/EUR","forex","2023-10-22 11:31:13.5061","buy","limit",8.600740,200.000000,0.320000,23.25381304,0.000000,"","LQLMD4-KQ2U3-3ZCZTB,LIVCBB-LU43N-HMQJF5","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T5SLGE-SDLLS-4AMUTV","OW54VA-WJND4-CYN43J","AAVE/EUR","forex","2023-10-22 11:35:44.3634","buy","limit",70.74000,200.00000,0.32000,2.82725473,0.00000,"","L2PTBM-EZWQC-PIQYUZ,L2J5WT-FADOF-EPNRW7","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T5US7A-GVGVC-W66JUJ","OPQOSU-LK3EQ-RJDU36","USDT/EUR","forex","2023-10-24 19:56:00.9061","buy","limit",0.94370000,9.43700000,0.01887400,10.00000000,0.00000000,"initiated","LNATSN-6S5VY-T2K4UT,LJTBLR-RWNDZ-DNE7LP","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TECMDM-4XA4B-6MKKRD","OACYRZ-F2TQW-ZHPN3H","USDT/EUR","forex","2023-10-24 20:03:04.0261","buy","limit",0.94380000,399.99999999,0.80000000,423.81860563,0.00000000,"initiated","LUXH6I-3JFBJ-2H7R2Y,LDRBCD-U4TV3-QWOHAP","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TOITGL-EPVPX-FDY6XL","O2IR7Z-Q4ORD-MLEVSZ","BTC/EUR","forex","2023-10-24 20:05:30.2265","buy","limit",31862.50000,149.99973,0.24000,0.00470772,0.00000,"","LVHRVZ-TAIYZ-ET6GZ4,LRMUHL-FCF7J-UYOISA","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TYB6M5-UO2Z6-YQ76PC","OVTNUL-VBNIM-NTFKLN","COMP/EUR","forex","2023-10-24 20:53:48.0775","buy","limit",43.0000,200.0000,0.3200,4.65116279,0.0000,"","LFHLYJ-PHN35-P7OJMT,LPEEY4-XKR2V-HZ4WW2","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TKYZT5-ACIX6-IX64TZ","OONCHC-IUSMA-N5OY4T","MKR/EUR","forex","2023-10-24 20:54:03.6774","buy","limit",1392.50000,200.00000,0.32000,0.14362657,0.00000,"","LCZ2UL-TBRHS-VFUNME,LTPFAA-JXWWQ-7GQXGO","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TD72ZT-BCHBB-M5FXRF","OBFHDE-HPA7A-HHCMTZ","BTC/EUR","forex","2023-10-26 13:35:53.2097","buy","limit",32500.00000,149.99985,0.24000,0.00461538,0.00000,"","LIHVSN-VOTZ6-YJDMDO,LVG434-MIGIZ-FANIHF","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TNVRZP-NHUW4-7RZDIH","OYN4B7-IZUU4-GJ5UYH","BTC/EUR","forex","2023-11-09 13:58:42.9131","buy","limit",34741.00000,149.99983,0.24000,0.00431766,0.00000,"","LOQUQ2-Y7ZT7-LVZF26,LOTY6H-DICSV-NJECBA","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TCORUA-E7LKL-VCWPZ6","ONTSKY-VTVBQ-2FK2KD","LINK/EUR","forex","2023-11-09 14:56:19.1165","buy","limit",14.700000,100.000000,0.160000,6.80272108,0.000000,"","LRN3RV-BZLJM-Y2FEM2,LQ23CZ-LXKH4-5EGMSX","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TVPZEL-PRUIO-UGBSIQ","OD2OAI-Q4W4A-OORNST","AAVE/EUR","forex","2023-11-09 15:52:56.2543","buy","limit",95.00000,50.00000,0.08000,0.52631578,0.00000,"","LJ4MJF-DAOGA-3E6VZQ,LA5OLK-RICJL-IEPFGF","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TZGCYV-NBMEF-YUGULX","O6STR5-YFJCO-OB4KJM","MKR/EUR","forex","2023-11-09 16:11:47.5128","buy","limit",1250.00000,50.00000,0.08000,0.04000000,0.00000,"","LZSL3Y-CKGCK-T2WJCH,LNVNXU-25XGI-HWI2EL","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TJE6EM-YXUJA-F7DIRV","ONTZDI-GPYOG-MES5ZM","COMP/EUR","forex","2023-11-09 16:11:59.5892","buy","limit",50.0000,50.0000,0.0800,1.00000000,0.0000,"","L7MJ4S-5KVQ7-7LK4XO,LULAJ7-JDN5T-UXPDPI","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TPYR4Y-QXGIH-WGP6IY","OGMO2R-55475-BNFOGB","BTC/EUR","forex","2023-11-14 15:25:24.7735","buy","limit",33500.00000,149.99994,0.24000,0.00447761,0.00000,"","LU2ZCF-C5RQQ-SW6TYJ,LEFXVW-MDOQK-XHR3WR","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TOLO4W-ZDB5G-7HDJQG","OFOODB-5LJCW-3RILVO","MKR/EUR","forex","2023-11-15 09:52:50.9497","buy","limit",1257.00000,49.99999,0.08000,0.03977724,0.00000,"","LPWY5W-NECXA-FGMHDQ,LI5CCW-ERAM5-RMKFU5","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TLQTF3-ICCVJ-QJY6OI","O6S4OQ-T3B4T-O32MYQ","LINK/EUR","forex","2023-11-16 13:16:08.1451","buy","limit",13.200000,100.000000,0.160000,7.57575757,0.000000,"","LG5GFV-ROSOU-GLFSCO,L4ASL7-2WUDT-KMQVKI","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TU4T3J-MJFNM-VT4WDB","OWSAIL-KBJIK-HXAU3D","AAVE/EUR","forex","2023-11-16 13:16:34.406","buy","limit",85.00000,50.00000,0.08000,0.58823529,0.00000,"","LCGWU3-3IHMG-T77P7B,LCDCFN-7LIKO-2IJATK","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TFFGKS-MHDTL-M6OEG7","OX7VRQ-T57W2-PWZBDO","COMP/EUR","forex","2023-11-16 15:46:39.1364","buy","limit",50.0000,50.0000,0.0800,1.00000000,0.0000,"","LA33MK-CEORT-YNJ45T,LWM4MH-7KO4H-HFJK4D","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TW5BRF-CIIEI-UOQPHS","OIAF6B-O3TU4-VGHKKQ","BTC/EUR","forex","2023-12-04 17:39:39.8457","buy","limit",38481.20000,10.24947,0.01640,0.00026635,0.00000,"","L2S5L4-YJ2EB-SBUHRA,LER3P2-VHYC4-32O65T","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TCWTDA-KMMRO-556RPC","OIAF6B-O3TU4-VGHKKQ","BTC/EUR","forex","2023-12-04 17:41:53.6962","buy","limit",38481.20000,139.75025,0.22360,0.00363165,0.00000,"","LX2UYF-RLHBU-EIUVBX,LUOYOW-YKRTX-VSCNCU","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TPJTHQ-MK4JQ-ZYCKJY","OIQWNF-435PV-QIGECJ","BTC/EUR","forex","2023-12-11 13:49:39.8697","buy","limit",39000.00000,158.10795,0.25297,0.00405405,0.00000,"","L4OJKG-6C7PV-DPXR7B,LG7NGW-PI7BU-LFFQ2I","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TOVZPD-LICAQ-RKHCOY","OSUO7S-VQA6I-UMBTNV","BTC/EUR","forex","2024-01-03 12:01:25.5897","buy","limit",39500.00000,150.39309,0.24063,0.00380742,0.00000,"","LL3V36-UHUCR-PVO6IT,L5YJF7-5KDU7-6TPZ43","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TJEFEA-3M54W-2WW3JR","OGLAQK-ZXDYL-U42EQP","BTC/EUR","forex","2024-01-12 22:03:50.9808","buy","limit",39500.00000,149.99967,0.24000,0.00379746,0.00000,"","LGHIWN-Z6FRY-6LQDBX,LQUJJ4-WEL5A-SINNMY","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
